label,seed_tokenized
0,no nrc npr caa cab
0,reject nrc caa npr
0,we strongly oppose cab
0,we strongly oppose caa nrc npr
0,we strongly oppose the citizenship amendment bill 2016
0,we strongly reject caa or nrc
0,very good nrc caa reject
0,very good protest no nrc cca npr hindustan zindabad
0,we all indians reject caa and nrc
0,we all reject nrc caa npr
0,we always reject nrc npr and caa
0,we are against caa and nrc and npr
0,we are against of the nrc caa npr
0,we are indian modi ji plz no cab
0,we are opposed of cab jai aai axom jai hind
0,we are proud to be indians we are against caa nrc we
0,we are strongly oppose citizenship amendment bill
0,we assamese people want correct and accurate nrc but we strongly oppose caa in
0,we bycott nrc pprs hoga to bhi nhi denge hm darte nhi h
0,use article 131 to remove caa nrc
1,i support nrc caa npr
1,i wholeheartedly welcome caa and nrc
1,nice explanation i support nrc caa
1,support caa nrc
1,we all support caa jay bharat mata ki jay
1,we are supports cab nrc
1,we strongly support caa and nrc
1,we support caa and nrc
1,we support cab caa nrc i proud of pm modi ji abe salo pahle
1,we support cab  ️we are with you modi
1,we support cab nrc and support modi
1,we support cca jai shree ram ️
1,we support modi and caa
1,we support modi ji and his policy
1,we support modi ji and nrc
1,we full support caa nrc nrp abvp
1,we fully support bjp cab
1,we fully support caa nrc and modi ji
1,we hartley support caa and nrc
1,we indians support cab and nrc
